Product,Forecast_Next_Month,RMSE,Safety_Stock_95,Order_Up_To_Level_95,Safety_Stock_99,Order_Up_To_Level_99
BodyArmor LYTE  - Berry Punch,1.0,0.9846064425450395,3.0,4.0,3.0,4.0
Belvita Snack Bites - Cinnamon BS Go Paks,,,,,,
Oberto Specialty Meats - Original,,,,,,
Pure Organic Fruit Bar - Raspberry Lemonade,,,,,,
Bubly - Cherry,,,,,,
Zevia Organic Tea - Peach,,,,,,
Made in Nature - Mangoes Sweet & Tangy,1.0,0.8807520913830156,3.0,4.0,3.0,4.0
Nature's Garden Trail Mix - Heart Healthy Mix,,,,,,
Nature's Garden Trail Mix - Omega 3,,,,,,
Keep Healthy - Sea Salt Brownie,,,,,,
Lays Baked - Barbecue,,,,,,
Belvita Snack Packs - Cinnamon,,,,,,
